expected_price,predicted_price
789.6399999999999,3018.0
4293.14,1440.0
918.3400000000001,1036.0
1218.64,2458.0
1075.64,1107.0
1866.81,1447.0
1862.14,4852.0
1290.14,2202.0
1433.1399999999999,1907.0
1218.64,1466.0
1833.54,1598.0
2577.14,2048.0
1004.1400000000001,-551.0
1835.07,3274.0
3597.75,5980.0
1422.74,870.0
1140.08,1023.0
432.1399999999999,844.0
861.1399999999999,1813.0
2863.14,3324.0
3109.95,2780.0
4007.1399999999994,3699.0
4598.51,4044.0
1318.74,2250.0
1075.64,1926.0
2107.72,1878.0
1004.1400000000001,545.0
1790.64,1519.0
15447.14,11873.0
1418.84,1334.0
1290.14,1112.0
932.6399999999999,363.0
2005.14,1253.0
1576.1400000000003,1430.0
1433.1399999999999,2126.0
2148.14,2073.0
3585.87,2705.0
2291.14,2127.0
3158.31,4072.0
5579.84,3338.0
1300.66,427.0
2005.14,2849.0
1933.55,1769.0
764.9200000000001,-256.0
1532.96,1441.0
3649.64,5349.0
1147.14,1845.0
718.1399999999996,1772.0
7626.52,6055.0
5136.84,3590.0
1218.64,3596.0
3911.2799999999997,2402.0
432.1399999999999,1288.0
1147.14,3851.0
1412.28,1203.0
2105.72,2745.0
508.79999999999995,1480.0
1605.64,2040.0
1218.64,1315.0
1719.14,1117.0
2273.81,2740.0
2621.52,2715.0
5151.14,3116.0
2863.14,1520.0
932.6399999999999,680.0
646.6400000000001,110.0
5076.09,3549.0
3286.38,3574.0
3992.84,3471.0
1763.14,1255.0
1418.84,2441.0
1676.24,1925.0
8583.14,6641.0
2296.78,2635.0
6151.85,3964.0
861.1399999999999,1402.0
1004.1400000000001,1250.0
3859.2800000000007,4404.0
3540.67,2328.0
1719.14,1394.0
989.8400000000001,1594.0
1218.64,1126.0
1521.49,2563.0
1433.1399999999999,1927.0
1290.14,1460.0
575.1399999999999,1135.0
718.1399999999996,1123.0
718.1399999999996,1363.0
627.3400000000004,1717.0
1576.1400000000003,1788.0
1576.1400000000003,1914.0
1018.44,1692.0
789.6399999999999,536.0
10156.14,9007.0
2076.64,2180.0
3177.74,10032.0
1004.1400000000001,2309.0
2148.14,1321.0
2148.14,2343.0
6252.24,3189.0
2362.64,2329.0
2505.64,2627.0
679.3600000000001,2409.0
1361.64,2534.0
2577.14,2097.0
1600.28,3149.0
3149.14,2528.0
1218.64,2215.0
1004.1400000000001,339.0
932.6399999999999,1977.0
1347.34,2125.0
1104.24,1844.0
8652.68,6308.0
959.1400000000001,549.0
1421.86,1543.0
1576.1400000000003,2206.0
546.54,1294.0
1004.1400000000001,1240.0
4748.33,4330.0
1790.64,4104.0
1624.8599999999997,3017.0
9545.970000000001,5550.0
932.6399999999999,161.0
14303.14,15244.0
932.6399999999999,1714.0
861.1399999999999,1333.0
646.6400000000001,1501.0
3721.14,1793.0
1790.64,2219.0
