expected_price,predicted_price
789.6399999999999,3188.0
4293.14,1525.0
918.3400000000001,1119.0
1218.64,2174.0
1075.64,1183.0
1866.81,1733.0
1862.14,4047.0
1290.14,2482.0
1433.1399999999999,1867.0
1218.64,1328.0
1833.54,1502.0
2577.14,1783.0
1004.1400000000001,545.0
1835.07,2546.0
3597.75,6436.0
1422.74,1012.0
1140.08,1263.0
432.1399999999999,937.0
861.1399999999999,1698.0
2863.14,2785.0
3109.95,2894.0
4007.1399999999994,3316.0
4598.51,4185.0
1318.74,1894.0
1075.64,1307.0
2107.72,1692.0
1004.1400000000001,889.0
1790.64,1588.0
15447.14,18996.0
1418.84,1444.0
1290.14,1229.0
932.6399999999999,1195.0
2005.14,1335.0
1576.1400000000003,1340.0
1433.1399999999999,1806.0
2148.14,1620.0
3585.87,2789.0
2291.14,1974.0
3158.31,3414.0
5579.84,3568.0
1300.66,675.0
2005.14,2322.0
1933.55,1778.0
764.9200000000001,522.0
1532.96,1340.0
3649.64,5184.0
1147.14,2006.0
718.1399999999996,1514.0
7626.52,5688.0
5136.84,3744.0
1218.64,4451.0
3911.2799999999997,2088.0
432.1399999999999,1229.0
1147.14,2645.0
1412.28,1229.0
2105.72,2759.0
508.79999999999995,1534.0
1605.64,1874.0
1218.64,1405.0
1719.14,1087.0
2273.81,3259.0
2621.52,3188.0
5151.14,2215.0
2863.14,1487.0
932.6399999999999,904.0
646.6400000000001,701.0
5076.09,4297.0
3286.38,4512.0
3992.84,3399.0
1763.14,1119.0
1418.84,2681.0
1676.24,1691.0
8583.14,6041.0
2296.78,2513.0
6151.85,3043.0
861.1399999999999,1569.0
1004.1400000000001,1279.0
3859.2800000000007,4134.0
3540.67,1958.0
1719.14,1483.0
989.8400000000001,1577.0
1218.64,1811.0
1521.49,2042.0
1433.1399999999999,1691.0
1290.14,1492.0
575.1399999999999,1148.0
718.1399999999996,1094.0
718.1399999999996,1405.0
627.3400000000004,1335.0
1576.1400000000003,1674.0
1576.1400000000003,2226.0
1018.44,1643.0
789.6399999999999,932.0
10156.14,7259.0
2076.64,2285.0
3177.74,13926.0
